Total	ID number
29	2545127
0	2576613
0	2553758
0	2504413
20	2599289
30	2559028
30	2576728
0	2661358
25	2639429
28	2635364
0	2665049
19	2723134
20	2721812
26	2721840
0	2797456
21	2721590
0	2774675
0	2791789
23	2771963
24	2724188
0	2724529
0	2785209
30	2783008
26	2798185
29	2736261
23	2829139
30	2795083
29	2742057
0	2732382
30	2785448
22	2784333
30	2768771
30	2621045
30	2728214
13	2830108
0	2774625
30	2765024
30	2759113
15	2773179
0	2767753
28	2770826
27	2710660
28	2265051
23	2585913
23	2795191
30	2764057
30	2772822
30	2800051
29	2723122
21	2776934
22	2777904
0	2619864
30	2770814
26	2779445
29	2769701
28	2642922
27	2741773
0	2787682
27	2833791
26	2769792
0	2796727
0	2722762